1,0,Noname Cat,Slow Sparrow Style,743238,+100563,Elemental,Aegis,carpenter
2,+4,Hcmeow Kitty,Reborn,645701,+185269,Elemental,Aegis,carpenter
3,0,Licca Fancy, ,590121,+89791,Elemental,Aegis,carpenter
4,+5,Fukuji Eads,Unimog,514018,+97382,Elemental,Aegis,carpenter
5,-2,Sora Sirotennant,AbSoLuTe'eGo,502102,0,Elemental,Aegis,carpenter
6,0,Poly Dent,Gatherer Savage 25,375281,+67921,Elemental,Aegis,carpenter
7,0,Pati Puti,Crimson Blitz,328218,+94678,Elemental,Aegis,carpenter
8,+10,Ange Saxda,Crimson Blitz,227680,+38535,Elemental,Aegis,carpenter
9,0,Riou Natume,Natume Friends Book,226149,+34741,Elemental,Aegis,carpenter
10,+11,Ninetail Vana'diel,Nexus,200833,+55604,Elemental,Aegis,carpenter
11,-8,Sin Shin,NegiNabe,200761,+8172,Elemental,Aegis,carpenter
12,0,Retaru Nonno,LALAS,189911,+53060,Elemental,Aegis,carpenter
13,0,Carry Coco,Make Memories,88192,0,Elemental,Aegis,carpenter
14,0,Kvarfolian Trifolion,FREE COMPANY,80147,0,Elemental,Aegis,carpenter
15,0,Io Nazun,Atelier NYANKO,66502,0,Elemental,Aegis,carpenter
16,0,Miiyan Delphoi,Crimson Blitz,50022,+7359,Elemental,Aegis,carpenter
17,0,Aoshi Lightbringer,Vane,38159,0,Elemental,Aegis,carpenter
18,0,Ruy King,dandelion,32124,+600,Elemental,Aegis,carpenter
19,+21,Noel Froid,Avior,27482,+3516,Elemental,Aegis,carpenter
20,0,Chika Nya,Angels Company,26672,+1797,Elemental,Aegis,carpenter
21,-19,Yu Minesima,Fellowship of Wind,26324,0,Elemental,Aegis,carpenter
22,0,Chieshia Sasthi,BlueSphere,21000,0,Elemental,Aegis,carpenter
23,+53,Nero Malicephea,EverybodySleepy,20241,+15204,Elemental,Aegis,carpenter
24,-23,Sachi Vincent,SukkRi - _- Pine,19123,0,Elemental,Aegis,carpenter
25,-24,Jacksonbird Al'akir,Zear Strategy,19095,0,Elemental,Aegis,carpenter
